tract,ra,dec
9818,158.27219448441028,1.5049146600085088
9819,159.85184648427654,1.534872781267379
9820,161.35552375683412,1.5123020283680906
9821,162.80258211947228,1.4956112890525552
9822,164.28530257259467,1.5517192832376845
9823,165.64291676882686,1.5523354991248854
9824,167.2758080395471,1.4941580704395998
9825,168.6793391177882,1.5508117054411412
9826,170.06104503112348,1.5394210611896575
9827,171.77520636436404,1.5720395406912209
9828,173.28289282723514,1.4883472022549762
9829,174.75818800912623,1.4984133035832652
9830,176.2289102314113,1.4893887213941073
9831,177.75307628560705,1.5093129289097806
9832,179.1833839325245,1.538468749090846
9833,180.5895994320512,1.516058714115283
9834,182.08815639013895,1.5744958955137451
9835,183.63041114128913,1.519898645055582
9836,184.98613281283218,1.5013443590401643
9837,186.69084613925668,1.5220239526131187
9838,188.13484620410372,1.5193978572127274
9839,189.60486182287173,1.5353363627972443
9840,191.152405685798,1.5014803451496022
9841,192.59475046860516,1.5298235292279927
9842,194.10363687099817,1.4941591306733053
9843,195.5511479321986,1.5345048759690223
9844,197.05650984844334,1.5626910759466122
9845,198.5351377710474,1.5361142502101168
9846,199.99477047940377,1.5088424489029797
9847,201.4080125507841,1.49855391597064
9848,203.03249319239032,1.5066473320225224
9849,204.50673073366517,1.5267292391546645
9850,206.00024872056625,1.573429361453711
9851,207.2943237227504,1.5750610831188212
9852,208.98286591175787,1.5618646215688103
9853,210.31782660842552,1.5638262543101544
9854,211.8389796505267,1.5759175946826884
9855,213.45279680788758,1.5319444061246912
9856,214.81108984436463,1.5362893805191673
9857,216.44449740813647,1.4885381381717822
9858,217.88996146298152,1.5045524519267546
9859,219.3362155952785,1.5378043454296708
9860,220.83231061672413,1.5317428506770838
9861,222.38679151932396,1.5549585553842595
9862,223.71432258419185,1.50752506055607
9863,225.29478582894677,1.53333949100338
9864,226.47998546886453,1.551026800493613
9933,329.49200294801085,1.937128128176939
9934,330.9040295029103,1.551257806656411
9935,332.43866523273243,1.5296211560569855
9936,333.92207261332,1.4920126767088095
9937,335.4218009652692,1.556053317669097
9938,336.8874080702982,1.5407456909656918
9939,338.40630015037596,1.4926897654291447
9940,339.8720398397306,1.5610738280790109
9941,341.3151805066209,1.4893123483155861
9942,342.8304341655377,1.5221825734431402
9943,344.31586364458377,1.488702665050487
9944,345.83065351212383,1.4973513030157282
9945,347.2792224009512,1.5223508957236216
9946,348.836793267726,1.5293211473302077
9947,350.247551767726,1.5373482790858355
9948,351.79962737032207,1.5233670740445646
9949,353.16481527234276,1.4977404672813477
9950,354.7119409899622,1.5312945195479934
9951,356.1787304531027,1.5549817674326438
9952,357.7172406476684,1.496563447795429
9953,359.2201024058177,1.528402642354453
9954,0.7028421435284018,3.000993328823169
9955,2.14195170854306,2.977901191227207
9956,3.3092940099782657,3.021846856141517
9957,5.161866045057493,3.0554073565861457
9958,6.606848155104483,2.9802845339709236
9959,8.112952553238536,2.982554406550129
9960,9.623259174645316,3.0071656435406213
9961,11.077642495778436,3.0203241489483577
9962,12.597870414547897,3.026646641033784
9963,14.119055310813524,2.9826740789821478
9964,15.510601198075992,2.9761781773927614
9965,17.02361142945643,3.010675614638893
9966,18.45672960404556,3.044855113426155
9967,20.066969686461956,3.012541543545181
9968,21.485058626153933,2.9858840314499053
9969,22.98483810653489,3.0515662749282906
9970,24.466292340301376,3.0196216605749644
9971,25.967534824139655,3.0376382295946667
9972,27.339472028934658,3.015577200861111
9973,28.205795976815097,3.0087655197998
9974,30.473959847541796,3.005397449406181
9975,31.97306109362333,2.9848961208709186
9976,33.3199897276758,2.985285089799427
9977,34.84450017979755,2.9790929746714863
9978,36.26996409731432,2.9905255045874775
9979,37.74054242022006,2.977589733963752
9980,39.20674200707085,3.050266677010131
9981,40.349663702691636,3.016778954600734
10040,128.63535458039382,2.997976774389578
10041,130.09700409597554,3.015731332070645
10042,131.61670589459348,3.05649237564591
10043,133.07036315649495,3.0361820263437087
10044,134.59322267256925,3.005007494918393
10045,136.0540191972497,2.989149972173066
10046,137.53250578367536,3.0326459411887305
10047,139.05370800226984,3.065111146664984
10048,140.53377691891177,3.0195852080570766
10049,141.82640737730708,2.98258132384078
10050,143.48796348891503,3.0113894358034843
10051,144.89803179875418,3.0536482845765134
10052,146.4699283154109,3.021851092163628
10053,147.93659322961634,3.015366652492179
10054,149.42787674007198,2.9888163803995003
10055,150.96183391147972,2.9979576991002603
10056,152.42958461440216,3.053218501695193
10057,153.89101640849256,3.021813186189519
10058,155.43818324095147,2.999244689360554
10059,156.9196178590354,3.029729527162052
10060,158.3820838905491,3.012603462387848
10061,159.7261190071047,2.999886052453237
10062,161.37285733538286,2.9910826973544045
10063,162.82914515915456,2.9928863538467545
10064,164.33687871489363,2.977803449132212
10065,165.6231022214403,2.9794546497535563
10066,167.27244564031986,3.0650813480951733
10067,168.81881851960512,2.978106947509336
10068,170.2750801706171,3.013299329655097
10069,171.81317058571602,3.0539384162851446
10070,173.21567790342718,2.9814665066298964
10071,174.74643333502976,3.0319656696928527
10072,176.20411659207065,3.0380552999582657
10073,177.6331965284477,2.9959625834033856
10074,179.1710704743243,2.989326712049242
10075,180.5844450787092,3.0470979588681173
10076,182.22102206345758,3.0570870334806943
10077,183.67520826210767,3.056987748125417
10078,185.12573152655892,3.0549483192210145
10079,186.6151723902361,2.9948965371407854
10080,188.15395760022724,3.027284681511397
10081,189.6089303309493,2.991473727956781
10082,191.07065145551238,3.015904808999739
10083,192.5771800520393,3.039166254973217
10084,194.06406777808047,3.051188468186844
10085,195.54408917950514,3.026779023345912
10086,196.9333214082079,2.9862519863568684
10087,198.41082250465757,3.048299321445334
10088,200.07240331218566,2.9780028748436838
10089,201.5655052768198,3.012730591337976
10090,202.9716593154151,2.990956813195635
10091,204.47935422940816,3.009013547709346
10092,205.97439764720372,2.9817836032752245
10093,207.47968557338865,3.0460758307112696
10094,208.94182005095192,3.002077116214129
10095,210.4945209468708,3.062761473359144
10096,211.97142072556218,3.0062714783893743
10097,213.44821525927836,3.031647038399079
10098,214.88935509344913,3.0111081506181696
10099,216.41133161943404,2.986190969792666
10100,217.85090146542439,2.9776885722431303
10101,219.413662708743,2.989094775058156
10102,220.85930758045555,3.026482228287055
10103,222.34391313240337,3.020684832348982
10104,223.87182202049536,2.996663761664927
10105,225.3456668411862,3.063071602811916
10106,226.22486762153895,3.055738179581167
10175,329.5041102341847,4.0299884909725865
10176,330.9423054847329,3.0331918465576275
10177,332.39333273730927,3.0349888207327687
10178,333.9224501241894,3.017530166953634
10179,335.4521779941393,3.0422277871961914
10180,336.86369183080757,2.9834801752309663
10181,338.3991331763407,3.038156563281349
10182,339.8712948713478,3.0477057451979332
10183,341.2656329089945,3.016286133633099
10184,342.87183287661514,2.994885258835859
10185,344.1938334883425,3.0033631250287662
10186,345.66304990314796,3.044500421081704
10187,347.3179523398816,3.018605488170215
10188,348.82988527689383,3.01353550624409
10189,350.18754389655646,3.0280248121857514
10190,351.779210147747,3.0375973013271413
10191,353.18891547900057,2.98971726853315
10192,354.7522926742241,2.977329397542822
10193,356.0687645641576,3.0309783165764563
10194,357.69864114448336,2.981597994588707
10195,359.12571667690406,3.0055292123680495
10196,0.49111665025227796,4.501402747519047
10197,2.0710719780929665,4.489907859788928
10198,3.6507720773302386,4.4791748079179845
10199,5.083704027071135,4.508207724608538
10200,6.354699995712601,4.495195744107557
10201,8.096003477042172,4.47217932624425
10202,9.422226166261314,4.526866729852079
10203,11.090330165652844,4.507072494322989
10204,12.228988467445747,4.483789851541308
10205,14.037516967010609,4.485253930118995
10206,15.567966005282297,4.496391428457542
10207,16.597533437111874,4.471058018170418
10208,18.322558984036785,4.503519818237923
10209,20.02764806598396,4.508594245208093
10210,21.44021571491004,4.503286280580509
10211,22.98119913058835,4.4879233522752875
10212,24.488904741250373,4.476016140503023
10213,26.028110397688483,4.467261239409731
10214,27.51246070463896,4.481358696797679
10215,28.752035978998215,4.478144896693207
10216,30.488578472801947,4.520868463244186
10217,31.813930556501703,4.492018494751832
10218,33.45959013883945,4.464305465535292
10219,34.90973757590365,4.474841659053252
10220,36.40899852701503,4.512863817806911
10221,37.83531334397471,4.539987387756782
10222,39.33510294273817,4.478694241839753
10223,39.57626996587829,4.532962689528591
10282,128.62637567731517,4.495635802173525
10283,130.1321315876344,4.4934831913754705
10284,131.62372219040154,4.469569862164625
10285,133.12351827192,4.512065478102736
10286,134.56798659513447,4.475897996181578
10287,136.0349739029982,4.544442664720399
10288,137.52472286391387,4.551740546021635
10289,139.08445462147108,4.473160696225105
10290,140.50881249522476,4.5395512564612845
10291,142.0656765462165,4.533712818993156
10292,143.32921771994629,4.513945537792088
10293,145.0357006299405,4.486345309767594
10294,146.41728602079456,4.4990461295159045
10295,147.82267275874676,4.494402051209081
10296,149.32492801884052,4.465438749023803
10297,150.98849255932345,4.528176944329567
10298,152.47457662441602,4.500272769188127
10299,153.74416953777572,4.485474102943196
10300,155.22778476100868,4.551731578327714
10301,156.74132645477314,4.502914448578796
10302,158.38128253784774,4.535975851155021
10303,159.87971578157072,4.537108276297215
10304,161.37590610026112,4.540087537225201
10305,162.45562613321712,4.487627113548734
10306,164.3366520476914,4.465276632787125
10307,165.80338141979118,4.47867442373622
10308,167.29597795513905,4.545554746493582
10309,168.77072664549502,4.486574304507917
10310,170.271094905938,4.529171336229864
10311,171.58004447061495,4.5296889506399385
10312,173.22790679233108,4.516754046575609
10313,174.78630239734017,4.472277126223572
10314,176.03007380855036,4.549703107220145
10315,177.72779026816843,4.5272302206436645
10316,179.2252044170874,4.471553782900971
10317,180.6096241071529,4.4792090578332555
10318,182.04633869037693,4.519634321733887
10319,183.29854058220158,4.485843620892297
10320,185.15038451003056,4.550738244906806
10321,186.6244302698067,4.521198455807638
10322,188.1631477194479,4.491263601629466
10323,189.60637494539645,4.499574260508975
10324,191.12817276592858,4.530981923818665
10325,192.586137293586,4.474620654257006
10326,194.11882449963056,4.551110048490149
10327,195.53337069141006,4.493170122276707
10328,197.08491028601313,4.464589847703017
10329,198.54430490115783,4.498679600133039
10330,200.0059729452194,4.4651510465552064
10331,201.49595854643604,4.497908471457133
10332,202.9727107138062,4.48813008775171
10333,204.48817880546252,4.503204706645811
10334,205.85911249854624,4.483538482906433
10335,207.36353199165097,4.495315834506804
10336,208.97160052750226,4.511378519353801
10337,210.4476472021494,4.552331506361815
10338,211.9393851693924,4.46391283184353
10339,213.4226498293594,4.486335995708962
10340,214.9492767579409,4.473665505571329
10341,216.41517994206333,4.469564572925279
10342,217.874673780402,4.465571489816735
10343,219.35552785739227,4.471081843087493
10344,220.84920428586253,4.499731607371769
10345,222.39432917678243,4.49011542750535
10346,223.85676031273908,4.5399555219290155
10347,225.33337419326642,4.479756724628176
10348,226.59397848007353,4.468426586531886
10418,330.95322677500417,4.470256969421669
10419,332.3404612711495,4.484024774707451
10420,333.8797472113321,4.464621426418684
10421,335.3688285656909,4.510258481003022
10422,336.94136419562585,4.472185603067297
10423,338.3669660161276,4.511070804648499
10424,339.83548932281394,4.538526235270094
10425,341.2376364195971,4.510596123051271
10426,342.82627860318945,4.516775611586726
10427,344.3439455710321,4.506890931764263
10428,345.81007994392525,4.505485142590023
10429,347.14798821094917,4.484869396861408
10430,348.7682637136786,4.538346585292734
10431,350.2461209254751,4.508716161771
10432,351.75966607820567,4.498105237567469
10433,353.2992143164195,4.4785508902228255
10434,354.5870858362295,4.474679100040732
10435,356.24167536642085,4.494464620007916
10436,357.55258524697365,4.47036948947051
10437,359.11983096030474,4.47126402942637
10438,0.7113484805868523,5.959107044115418
10439,2.188456900137478,6.0281505051365105
10440,3.726520264806144,5.957832668937063
10441,5.139389290600793,5.95886301365653
10442,6.384768835575218,6.023951795244783
10443,8.20962736374884,5.978728212645033
10444,9.657415246140982,6.033007970769038
10445,11.154555421653532,6.016217170131309
10446,12.585128038226657,6.032986639493694
10447,14.135583408068806,6.002285269840038
10448,15.107173591090675,5.989814635895366
10449,16.98624449235649,5.976765647432197
10450,18.60549572747868,5.951035900270646
10451,20.098649692779468,5.982986795857565
10452,21.51561837882364,5.962637164747538
10453,22.97767561727731,5.99917255701938
10454,24.547135921115018,5.970861912057223
10455,25.54959274616094,5.963892390397565
10458,30.38754016248577,6.02729107751932
10459,31.514668431857288,5.977817154183725
10460,33.487625591325475,6.036842120330082
10461,34.933319253316114,5.973769043534848
10462,36.521477105753654,5.98294535826438
10463,37.38316919594747,6.023063988660446
10464,39.25207343496254,5.97744892591571
10659,330.86653471045605,5.9580285247593805
10660,332.3182062530927,5.952436046231072
10661,333.7882263518293,6.008354256896844
10662,335.3153297152789,5.97374156639444
10663,336.7846686695094,6.038919762499534
10664,338.32026464984125,6.0203910077104466
10665,339.79489576248494,6.002633542054529
10666,341.2444124344819,6.0167149224045255
10667,342.8053710058214,6.032567271116368
10668,344.07722216063826,5.963143928005255
10669,345.78323545258564,6.008883993377543
10670,347.0899074783196,6.001293083219278
10671,348.7505649400406,6.027229507080647
10672,350.2136735355894,6.015549343012341
10673,351.58831157294486,6.020561158714661
10674,353.0540708377527,6.039849287170824
10675,354.65667193500536,5.98702219545401
10676,356.1838109709268,5.994089372161646
10677,357.66839543312466,5.979223123573842
10678,359.08489192437713,5.9519265090034335
10899,330.6602682581623,7.457889591452764
10900,331.99755924845834,7.471209035870582
10901,333.7110450642488,7.4609609088822015
10902,335.181482943407,7.4803758430836345
10903,336.67947957755626,7.4526715111233175
10904,337.84579025827173,7.458351505431028
15808,199.66554545463674,41.829246857549506
15809,201.7507237278599,41.79568066390842
15810,203.75898989770022,41.829188778305834
15811,205.61432211041028,41.91427154021743
15812,207.21982715499414,41.84636079129222
15813,208.97309789745435,41.92113121052343
15814,211.76377351242976,41.915461425297195
15815,213.8107183059896,41.822294274501715
15816,215.7299022353566,41.83367073125794
15817,217.49535702402764,41.80212863865087
15818,219.75067205375692,41.85221363099328
15819,221.54959035887072,41.862737298359754
15820,223.55651467818808,41.87565480691506
15821,225.23497086443183,41.84838810488563
15822,227.17298593288982,41.85042446323635
15823,229.1077093978394,41.92630394185566
15824,231.65510111426596,41.88095578504286
15825,233.62728968216365,41.849347232423945
15826,235.66956045850543,41.91653539066543
15827,237.61728660549883,41.91413531930098
15828,239.6581368280997,41.859427796674055
15829,241.11564455690362,41.88316581138796
15830,243.62125574490108,41.886751479937445
15831,245.54716059613233,41.875647191242386
15832,247.54832047364732,41.789449681451345
15833,249.59966860226288,41.811476991423255
15834,250.24324654188365,41.90983898886124
15987,200.31057754575892,43.152459045187555
15988,202.34451025745912,43.18454443437152
15989,203.37504416165973,43.197342867963734
15990,205.87635621726292,43.163561239582464
15991,208.12835732080922,43.1420349419491
15992,210.21406911726805,43.19469597449737
15993,212.4814818418126,43.19837032696589
15994,214.28608547623352,43.16380370679989
15995,216.60566639517808,43.14588485607548
15996,218.39077336918547,43.158553496136044
15997,220.48405415808043,43.17232063755756
15998,222.70310316964589,43.19882505654271
15999,224.65325083685036,43.195991953688896
16000,226.71958826356956,43.14636814818813
16001,228.80211212711927,43.15170940584865
16002,230.816574480345,43.148428075831525
16003,232.6227615366761,43.198175049410494
16004,234.8960702836597,43.18924445523166
16005,236.67547229980747,43.184133360035766
16006,238.87575501016101,43.1513294485711
16007,240.98050930562806,43.203664544680535
16008,242.90786055321382,43.14408378216537
16009,245.0350625572984,43.17319060456043
16010,247.0252791340886,43.212964328306505
16011,248.81628954123576,43.186023466307695
16012,250.9136592245286,43.15938929038094
16162,200.77386995463735,44.66604848471296
16163,202.84207082822854,44.62869125634668
16164,204.30909617779747,44.69447637299113
16165,206.9922170267478,44.71127839084374
16166,209.09815989316783,44.67246494316625
16167,211.17410942926514,44.684126430646195
16168,213.17346149830092,44.67856190862535
16169,215.22846327984345,44.65728458827775
16170,217.3144102511912,44.677268653062086
16171,219.4339047915838,44.66147588835769
16172,221.39294368056355,44.661343671799976
16173,223.69241735407903,44.67712805992782
16174,225.46923330932583,44.674415612155215
16175,227.82229233211547,44.64232758199106
16176,229.91997973295938,44.70245867641934
16177,231.94660552653076,44.68661265417119
16178,233.99149046622324,44.652900493961475
16179,235.97914056229962,44.67425695119222
16180,237.95083411081845,44.66985386273734
16181,240.18962056126367,44.64060866313253
16182,242.31091829647121,44.66613271315247
16183,244.3800921751051,44.677402417980204
16184,246.48501487958816,44.67916217116533
16185,248.40194118809615,44.681492167406674
16186,249.75424425553805,44.62872502919001
16821,213.82812825164513,51.765295883739164
16822,214.50892504653507,51.75588722637702
16972,213.7385105706257,52.14813472551097
16973,215.37443913982855,52.09270659471533
